date,appid,name,publisher,primary_genre,country,players,sessions,usage_hours
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,United States,1850279,4295924,3009640.2
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,China,1717340,3677987,2694643.9
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,Russia,860923,1948300,1167797.5
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,Germany,681298,1549914,1050495.9
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,494326,1121959,742330.7
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,507450,1209468,787781.1
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,441531,989804,637284.9
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,Canada,394185,849326,565930.3
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,France,409471,952002,541737.2
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,Japan,280579,680489,445393.1
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,Australia,275784,654171,410391.9
2026-06-15,730,Counter-Strike: Global Offensive,Valve,Action,Other,1400969,2999269,2058363.2
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,United States,1806149,4350324,2632262.2
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,China,1496473,3439871,2438743.6
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,Russia,791894,1769422,1250735.5
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,Germany,667464,1453967,1010336.4
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,516140,1238361,813978.1
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,390230,855039,600289.4
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,428275,876395,620844.4
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,Canada,355963,863254,528194.4
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,France,370732,946001,539538.2
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,Japan,243384,492015,381922.9
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,Australia,251816,610598,354825.7
2026-06-16,730,Counter-Strike: Global Offensive,Valve,Action,Other,1308149,2993190,2083310.5
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,United States,1776366,4184473,2596687.2
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,China,1384031,3160726,1945542.6
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,Russia,707399,1727427,1086567.0
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,Germany,514334,1100218,744837.2
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,455629,975177,680984.0
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,390959,826538,576303.6
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,424750,1012301,592768.7
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,Canada,350912,799805,518175.9
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,France,311189,779045,452707.8
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,Japan,218332,540747,301559.3
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,Australia,234467,516335,355430.5
2026-06-17,730,Counter-Strike: Global Offensive,Valve,Action,Other,1143320,2676813,1608065.5
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,United States,1793722,4312972,2735521.2
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,China,1608073,3618399,2336597.4
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,Russia,780696,1847557,1097144.3
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,Germany,619930,1243308,933033.9
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,521090,1237695,767842.0
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,401185,925291,544972.8
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,447086,1096580,676138.6
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,Canada,398557,925580,561617.2
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,France,337242,690357,511050.0
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,Japan,271624,627812,395770.1
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,Australia,252736,599609,374963.9
2026-06-18,730,Counter-Strike: Global Offensive,Valve,Action,Other,1365307,3250916,2131410.7
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,United States,2112570,4571377,3198189.8
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,China,1695477,3896682,2381373.3
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,Russia,852409,2030909,1189712.3
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,Germany,658057,1536515,947676.2
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,554513,1302616,777183.2
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,457543,1005084,682959.0
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,456616,1118762,639238.3
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,Canada,396684,959820,567047.8
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,France,406452,827433,605969.8
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,Japan,267380,592594,408262.7
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,Australia,269002,562004,416888.7
2026-06-19,730,Counter-Strike: Global Offensive,Valve,Action,Other,1382688,3167517,2149202.1
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,United States,2203205,5098000,3114191.4
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,China,2033013,5085778,3128266.7
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,Russia,948083,2145817,1412287.1
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,Germany,799719,1987745,1215941.5
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,675461,1544334,1040512.0
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,567535,1326433,892477.3
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,583496,1328743,893457.9
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,Canada,424975,905288,650138.8
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,France,492270,1074798,741191.2
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,Japan,347658,832911,558695.4
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,Australia,343813,790580,468370.3
2026-06-20,730,Counter-Strike: Global Offensive,Valve,Action,Other,1646764,3696833,2356423.3
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,United States,2401095,5882740,3598241.5
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,China,2075262,4678902,3467506.4
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,Russia,1048113,2527627,1629935.2
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,Germany,768044,1551226,1035042.8
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,703931,1601102,1106364.2
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,518479,1154252,799354.1
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,549438,1275508,818448.6
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,Canada,426051,971441,691520.6
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,France,432456,1016711,667166.2
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,Japan,312351,746520,508201.9
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,Australia,322460,728135,507203.7
2026-06-21,730,Counter-Strike: Global Offensive,Valve,Action,Other,1606878,3549455,2303842.2
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,United States,1898808,4299233,2700345.9
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,China,1719088,4135406,2472819.0
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,Russia,886714,2038019,1441163.9
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,Germany,711030,1550327,1031601.4
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,596188,1401893,908589.2
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,504722,1177941,783011.8
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,458525,1180813,705966.3
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,Canada,382994,815125,567591.5
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,France,382658,894989,555977.8
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,Japan,286527,573471,436069.5
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,Australia,276569,669622,435042.7
2026-06-22,730,Counter-Strike: Global Offensive,Valve,Action,Other,1399277,3248449,2076951.0
2026-06-23,730,Counter-Strike: Global Offensive,Valve,Action,United States,1982501,4223961,2879150.4
2026-06-23,730,Counter-Strike: Global Offensive,Valve,Action,China,1744589,3988167,2384708.6
2026-06-23,730,Counter-Strike: Global Offensive,Valve,Action,Russia,977126,2352668,1519117.9
2026-06-23,730,Counter-Strike: Global Offensive,Valve,Action,Germany,722013,1597282,1128382.4
2026-06-23,730,Counter-Strike: Global Offensive,Valve,Action,Brazil,591547,1401098,829938.9
2026-06-23,730,Counter-Strike: Global Offensive,Valve,Action,United Kingdom,495853,1182107,799100.6
2026-06-23,730,Counter-Strike: Global Offensive,Valve,Action,South Korea,487077,1096338,713798.3
